date,campaign_name,impressions,clicks,spend,conversions,revenue,product_name,region
2026-06-01,Google Search - Brand,12500,850,340.50,110,1320.00,Enterprise SaaS,North America
2026-06-01,Facebook Retargeting,8500,420,210.00,45,540.00,Starter Plan,Europe
2026-06-01,Instagram Prospecting,15000,310,310.00,12,180.00,Starter Plan,Latin America
2026-06-01,LinkedIn B2B LeadGen,4200,95,475.00,8,320.00,Enterprise SaaS,Europe
2026-06-01,YouTube Awareness,50000,150,150.00,2,30.00,Professional Tier,Asia-Pacific
2026-06-02,Google Search - Brand,13200,920,368.00,125,1500.00,Enterprise SaaS,North America
2026-06-02,Facebook Retargeting,9200,470,235.00,52,624.00,Starter Plan,Europe
2026-06-02,Instagram Prospecting,16200,340,340.00,15,225.00,Starter Plan,Latin America
2026-06-02,LinkedIn B2B LeadGen,4500,105,525.00,10,400.00,Enterprise SaaS,Europe
2026-06-02,YouTube Awareness,52000,160,160.00,3,45.00,Professional Tier,Asia-Pacific
2026-06-03,Google Search - Brand,11800,780,312.00,98,1176.00,Professional Tier,Europe
2026-06-03,Facebook Retargeting,8900,410,205.00,40,480.00,Starter Plan,North America
2026-06-03,Instagram Prospecting,14800,290,290.00,8,120.00,Professional Tier,Latin America
2026-06-03,LinkedIn B2B LeadGen,4100,90,450.00,7,280.00,Enterprise SaaS,North America
2026-06-03,YouTube Awareness,48000,140,140.00,1,15.00,Starter Plan,Asia-Pacific
2026-06-04,Google Search - Brand,14000,980,392.00,140,1680.00,Enterprise SaaS,North America
2026-06-04,Facebook Retargeting,9800,510,255.00,58,696.00,Starter Plan,Europe
2026-06-04,Instagram Prospecting,17000,380,380.00,18,270.00,Starter Plan,Latin America
2026-06-04,LinkedIn B2B LeadGen,4800,115,575.00,12,480.00,Enterprise SaaS,Europe
2026-06-04,YouTube Awareness,55000,180,180.00,4,60.00,Professional Tier,Asia-Pacific
2026-06-05,Google Search - Brand,15000,1050,420.00,155,1860.00,Enterprise SaaS,North America
2026-06-05,Facebook Retargeting,10500,550,275.00,65,780.00,Starter Plan,Europe
2026-06-05,Instagram Prospecting,18000,410,410.00,22,330.00,Starter Plan,Latin America
2026-06-05,LinkedIn B2B LeadGen,5200,125,625.00,14,560.00,Enterprise SaaS,Europe
2026-06-05,YouTube Awareness,60000,200,200.00,5,75.00,Professional Tier,Asia-Pacific
2026-06-06,Google Search - Brand,11000,720,288.00,88,1056.00,Professional Tier,Europe
2026-06-06,Facebook Retargeting,7800,350,175.00,30,360.00,Starter Plan,North America
2026-06-06,Instagram Prospecting,13000,250,250.00,6,90.00,Professional Tier,Latin America
2026-06-06,LinkedIn B2B LeadGen,3800,80,400.00,5,200.00,Enterprise SaaS,North America
2026-06-06,YouTube Awareness,45000,120,120.00,0,0.00,Starter Plan,Asia-Pacific
2026-06-07,Google Search - Brand,10500,680,272.00,82,984.00,Enterprise SaaS,North America
2026-06-07,Facebook Retargeting,7200,320,160.00,28,336.00,Starter Plan,Europe
2026-06-07,Instagram Prospecting,12000,230,230.00,5,75.00,Starter Plan,Latin America
2026-06-07,LinkedIn B2B LeadGen,3500,75,375.00,4,160.00,Enterprise SaaS,Europe
2026-06-07,YouTube Awareness,42000,110,110.00,1,15.00,Professional Tier,Asia-Pacific
2026-06-08,Google Search - Brand,13500,940,376.00,130,1560.00,Enterprise SaaS,North America
2026-06-08,Facebook Retargeting,9500,480,240.00,55,660.00,Starter Plan,Europe
2026-06-08,Instagram Prospecting,15800,330,330.00,14,210.00,Starter Plan,Latin America
2026-06-08,LinkedIn B2B LeadGen,4600,100,500.00,9,360.00,Enterprise SaaS,Europe
2026-06-08,YouTube Awareness,53000,170,170.00,3,45.00,Professional Tier,Asia-Pacific
2026-06-09,Google Search - Brand,14200,1010,404.00,145,1740.00,Professional Tier,Europe
2026-06-09,Facebook Retargeting,9900,520,260.00,60,720.00,Starter Plan,North America
2026-06-09,Instagram Prospecting,16500,360,360.00,16,240.00,Professional Tier,Latin America
2026-06-09,LinkedIn B2B LeadGen,4900,110,550.00,11,440.00,Enterprise SaaS,North America
2026-06-09,YouTube Awareness,56000,190,190.00,4,60.00,Starter Plan,Asia-Pacific
2026-06-10,Google Search - Brand,14800,1030,412.00,150,1800.00,Enterprise SaaS,North America
2026-06-10,Facebook Retargeting,10200,540,270.00,62,744.00,Starter Plan,Europe
2026-06-10,Instagram Prospecting,17200,390,390.00,20,300.00,Starter Plan,Latin America
2026-06-10,LinkedIn B2B LeadGen,5100,120,600.00,13,520.00,Enterprise SaaS,Europe
2026-06-10,YouTube Awareness,58000,200,200.00,5,75.00,Professional Tier,Asia-Pacific
